Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent
Brazil,2014,1239417018,16159.77,23.56,41.62,South America
UK,2014,616461721,24604.61,18.2,32.28,Europe
USA,2018,110725250,21982.32,14.51,13.28,North America
France,2019,580160720,14813.83,10.58,57.3,Europe
UK,2005,1101854748,22360.02,22.5,98.85,Europe
China,2018,135860352,2995.08,20.23,85.92,Asia
Brazil,2024,742485907,11421.88,3.78,25.03,South America
Australia,2007,284445688,10774.04,18.09,88.7,Oceania
Russia,2005,1084269736,8477.54,14.39,50.21,Europe/Asia
Russia,2019,878424865,105.01,4.38,34.32,Europe/Asia
Russia,2022,1041334875,22286.62,14.99,66.99,Europe/Asia
India,2014,808629794,19464.89,6.43,29.29,Asia
China,2002,1176953423,16356.15,18.29,88.29,Asia
Brazil,2009,384705420,3311.27,8.4,65.55,South America
UK,2014,480867362,9517.31,5.46,22.11,Europe
India,2023,611344745,23115.74,3.89,60.79,Asia
China,2015,1210963061,15461.55,13.29,55.42,Asia
Australia,2016,1115078495,15124.92,6.59,51.96,Oceania
France,2018,904211121,22836.85,21.67,42.48,Europe
Brazil,2010,199633509,14039.86,2.07,52.2,South America
Russia,2015,586306565,14980.82,21.4,62.16,Europe/Asia
USA,2004,1021153713,8708.32,13.99,75.29,North America
Brazil,2004,106212645,9348.88,23.21,91.69,South America
Canada,2013,770347749,17171.61,6.71,13.95,North America
China,2017,1169184173,8078.84,4.35,60.67,Asia
Germany,2007,217539380,14021.79,16.37,76.93,Europe
Australia,2004,744392588,7052.0,18.25,20.28,Oceania
France,2006,498378222,4236.52,10.57,91.12,Europe
Australia,2015,600149963,11414.62,2.31,31.8,Oceania
Brazil,2022,1208843322,5514.41,11.36,84.17,South America
Germany,2013,1373452768,22472.51,7.38,68.92,Europe
Canada,2004,877469147,7659.96,9.99,59.8,North America
UK,2023,650325688,14975.31,13.66,87.36,Europe
USA,2008,1333741841,6659.7,18.15,96.26,North America
Germany,2003,362509273,6524.68,24.15,98.74,Europe
China,2003,1117170549,8830.84,5.31,70.81,Asia
Russia,2015,910119271,22905.28,17.64,40.18,Europe/Asia
Canada,2023,347703939,9848.29,7.36,87.85,North America
USA,2016,163224241,20549.54,7.08,68.24,North America
France,2014,256740123,5012.72,16.57,38.78,Europe
Russia,2003,239402265,1299.42,19.85,92.98,Europe/Asia
Brazil,2005,931425580,19563.78,24.49,76.54,South America
Germany,2015,1252302318,13592.68,19.68,50.3,Europe
USA,2003,318087017,12642.77,5.62,50.45,North America
India,2005,817808865,6877.93,7.18,98.64,Asia
UK,2004,1140482205,1900.69,19.51,43.26,Europe
UK,2015,952291132,12123.21,14.12,18.37,Europe
Canada,2024,720614356,21693.94,8.79,57.93,North America
France,2015,1153007595,3088.55,12.85,88.75,Europe
Canada,2009,193729302,23236.35,23.04,62.02,North America
India,2008,1138004512,6940.75,19.38,80.58,Asia
China,2003,1335841089,13351.44,12.37,14.88,Asia
France,2013,430257455,1756.06,24.55,69.93,Europe
Australia,2003,941073786,10683.66,20.28,17.05,Oceania
China,2011,1022039829,3234.86,2.14,59.52,Asia
France,2023,362716239,1294.55,4.58,54.3,Europe
France,2009,23387603,24167.29,14.74,94.16,Europe
India,2003,148610309,18279.35,10.05,21.79,Asia
Brazil,2017,50457132,18004.54,20.69,10.84,South America
India,2012,863136854,2354.69,22.6,22.22,Asia
France,2012,1259905927,23240.83,7.53,25.19,Europe
USA,2013,1387554532,11789.77,19.56,32.33,North America
China,2017,284213973,21321.87,14.31,82.54,Asia
India,2000,763871301,413.77,11.02,43.54,Asia
Brazil,2020,495125045,7525.34,20.1,84.83,South America
Germany,2015,684619359,24901.57,14.99,34.2,Europe
Canada,2014,677334373,10753.17,16.61,86.59,North America
France,2021,1032846806,22223.49,3.43,10.72,Europe
Australia,2024,618360560,8267.16,15.48,93.17,Oceania
Germany,2004,1053578876,13180.7,8.92,76.4,Europe
UK,2005,110475404,21370.05,13.35,46.73,Europe
Russia,2005,289465311,15184.93,7.11,61.38,Europe/Asia
Brazil,2002,1313246357,18157.29,16.13,93.04,South America
Australia,2015,949320262,5797.95,5.39,61.85,Oceania
Russia,2011,1374082517,3981.67,4.83,30.34,Europe/Asia
Brazil,2003,927613588,5834.63,6.33,60.99,South America
USA,2000,1049771333,12376.91,20.8,87.56,North America
Canada,2003,94582268,20044.02,2.77,97.88,North America
Germany,2000,138360781,8914.45,18.78,61.98,Europe
China,2020,89475535,14163.91,3.3,23.85,Asia
Brazil,2007,467056962,20139.83,15.61,78.69,South America
China,2023,317581256,6045.53,19.79,98.73,Asia
Canada,2004,53374868,22086.1,7.31,52.15,North America
France,2001,1387175069,23831.75,6.51,44.15,Europe
UK,2011,308873245,1070.36,8.65,59.17,Europe
Germany,2021,459197417,1571.87,18.09,24.66,Europe
Canada,2016,33604895,2364.9,7.86,96.44,North America
Canada,2006,564350294,19441.53,13.54,84.61,North America
USA,2010,313117762,4814.49,5.09,20.06,North America
Russia,2003,294549184,18169.83,12.61,94.11,Europe/Asia
UK,2004,933810562,11087.77,16.37,93.91,Europe
Germany,2005,1053611300,20922.75,3.65,38.16,Europe
France,2010,1080084870,20233.03,20.75,65.1,Europe
France,2000,19904752,23995.6,23.56,19.86,Europe
India,2024,2418038,6350.84,6.45,17.49,Asia
Canada,2009,970310083,5808.06,19.47,54.66,North America
Brazil,2019,968874625,884.55,9.21,14.42,South America
USA,2023,126815501,10319.36,17.56,87.87,North America
UK,2020,132095652,11530.67,9.05,92.6,Europe
France,2010,922708574,24116.39,21.83,15.99,Europe
Germany,2023,954762676,20786.55,9.98,14.21,Europe
India,2016,837956350,4253.11,21.52,29.71,Asia
Germany,2007,349254622,19982.39,19.62,92.77,Europe
USA,2012,263584110,4539.65,6.52,78.44,North America
Brazil,2019,1270357290,2036.35,5.61,70.21,South America
India,2017,95697237,20943.36,19.93,79.09,Asia
India,2021,1394737417,24401.39,10.98,27.75,Asia
Russia,2015,192813344,2294.15,23.84,32.84,Europe/Asia
UK,2001,466210962,20366.73,23.69,38.27,Europe
India,2004,746749592,21494.39,17.95,63.85,Asia
Russia,2017,1253729206,3057.01,13.51,64.13,Europe/Asia
Russia,2002,893863021,7153.01,6.48,28.57,Europe/Asia
USA,2021,193327007,18368.15,22.3,48.87,North America
China,2016,1013275096,20212.48,3.89,71.41,Asia
Germany,2015,1255212944,8913.96,10.52,37.56,Europe
Brazil,2005,525348941,4082.24,9.34,16.72,South America
Australia,2018,161769100,16243.78,24.04,27.57,Oceania
Germany,2006,1375033125,17579.02,4.72,24.66,Europe
India,2017,456428673,12639.84,22.47,66.24,Asia
Brazil,2013,844427871,3709.03,12.5,16.1,South America
France,2005,475349625,21127.72,3.09,88.74,Europe
China,2007,307046055,16167.12,18.76,17.51,Asia
France,2014,33861829,21742.19,4.32,63.21,Europe
France,2014,1328224536,23330.93,7.45,92.73,Europe
UK,2014,657735298,20161.88,20.39,15.56,Europe
Germany,2015,23915025,23970.57,5.56,44.1,Europe
Australia,2000,686918897,23861.02,9.49,39.19,Oceania
USA,2010,871585717,15521.68,10.3,40.63,North America
Australia,2024,656095542,18231.54,15.54,63.43,Oceania
France,2004,1056493925,17515.27,20.17,33.33,Europe
India,2004,703089450,15566.29,7.31,12.43,Asia
China,2020,1089641666,581.94,6.73,95.64,Asia
Canada,2005,1099361967,8962.08,7.1,76.64,North America
Australia,2001,1063471063,2591.95,10.78,22.03,Oceania
France,2005,903738158,7576.45,14.31,50.51,Europe
China,2013,291031343,1807.26,2.31,15.58,Asia
Brazil,2010,1076083739,23008.78,19.95,12.48,South America
Germany,2003,1158347631,11338.11,23.31,14.23,Europe
Russia,2023,207300464,4815.17,21.4,77.26,Europe/Asia
UK,2024,1385878369,14661.0,2.86,49.6,Europe
China,2008,1331909062,4991.63,14.06,85.15,Asia
India,2023,363795589,20130.56,20.72,37.16,Asia
India,2002,1330959281,7717.39,9.91,79.0,Asia
China,2015,132681510,7941.03,22.63,16.94,Asia
India,2010,471719265,21761.78,22.4,66.52,Asia
Germany,2003,645328242,14024.15,5.26,42.09,Europe
India,2000,267350940,22193.82,13.35,34.63,Asia
Australia,2024,153340734,10380.91,2.59,82.54,Oceania
Russia,2020,678147075,8663.8,8.48,14.62,Europe/Asia
India,2021,1015922308,12704.45,20.67,94.51,Asia
Russia,2015,160912806,1631.14,24.43,79.91,Europe/Asia
France,2018,599455431,3939.6,23.01,41.65,Europe
USA,2015,1115492558,5566.09,2.98,98.23,North America
Germany,2010,840464786,20435.26,23.31,28.02,Europe
USA,2007,652574970,18371.59,20.92,45.81,North America
France,2022,1098376266,4913.35,21.96,88.75,Europe
Germany,2000,288550099,6991.01,23.04,98.72,Europe
China,2020,983518710,23612.12,13.23,31.28,Asia
China,2008,1136730467,2236.49,6.86,76.14,Asia
Russia,2011,1107314125,13731.63,2.48,37.21,Europe/Asia
France,2021,1276965881,13097.97,2.54,78.22,Europe
Russia,2007,111088229,18170.12,16.78,21.15,Europe/Asia
UK,2016,536751887,6609.74,9.76,39.92,Europe
India,2009,1107070016,23375.84,13.41,16.67,Asia
Canada,2006,220815271,10323.51,5.02,53.78,North America
UK,2018,967396928,7214.42,24.44,72.43,Europe
India,2024,1125478706,8488.05,4.99,43.7,Asia
Germany,2005,101168660,8783.19,12.23,64.71,Europe
Russia,2020,750710139,5053.32,12.2,60.65,Europe/Asia
Germany,2023,106075083,23208.54,2.2,36.22,Europe
Germany,2023,1377534363,4454.39,17.36,53.32,Europe
India,2018,549823584,22082.53,14.38,16.14,Asia
France,2017,522592041,10182.74,13.44,50.93,Europe
India,2014,1210183785,6804.98,20.82,50.78,Asia
Brazil,2001,230246012,5042.87,7.55,12.56,South America
China,2013,255902824,12658.12,21.81,55.73,Asia
China,2020,810653688,16764.54,21.89,75.65,Asia
UK,2009,553502401,22465.7,21.02,50.25,Europe
China,2015,318779810,16345.92,9.85,67.5,Asia
India,2006,874121989,12143.2,5.74,57.39,Asia
Australia,2007,1103707486,933.55,12.93,79.88,Oceania
Russia,2009,400001238,22894.13,7.98,55.79,Europe/Asia
India,2014,478812427,22568.99,3.2,39.51,Asia
India,2007,272303349,9530.05,8.43,83.65,Asia
Canada,2012,1395662770,822.96,12.79,16.02,North America
Russia,2011,1150984667,18360.9,4.59,35.76,Europe/Asia
Brazil,2007,932720910,19812.85,23.72,62.64,South America
China,2014,309803730,13607.4,17.09,86.19,Asia
Russia,2011,365730059,10131.59,5.14,16.42,Europe/Asia
China,2010,519449199,21293.21,20.68,18.55,Asia
UK,2018,757202170,4893.66,23.35,35.13,Europe
Russia,2013,227209663,11045.0,8.04,40.67,Europe/Asia
China,2017,1138767738,709.7,5.29,85.07,Asia
Brazil,2012,611460023,4183.86,9.42,95.34,South America
USA,2003,329106789,23526.7,21.14,11.53,North America
Germany,2016,1197012394,14494.27,6.03,11.37,Europe
Germany,2018,300858729,20159.25,19.92,86.97,Europe
Brazil,2008,244506056,12213.86,18.47,22.07,South America
Canada,2022,537917387,20887.19,16.98,40.2,North America
USA,2006,1065617481,13519.87,11.97,34.49,North America
UK,2000,619562746,212.99,10.44,35.09,Europe
Brazil,2006,1046591021,22502.51,3.96,39.24,South America
Germany,2006,1103860879,3799.3,10.22,39.91,Europe
Germany,2019,1241978622,11318.81,15.84,65.19,Europe
Germany,2006,617768996,11969.19,22.66,65.96,Europe
France,2007,310163292,1276.18,21.16,56.54,Europe
Brazil,2015,900916165,1421.45,2.74,86.41,South America
India,2002,625877108,19087.54,5.19,85.26,Asia
UK,2012,483766801,7581.22,21.52,29.33,Europe
Germany,2009,1209340009,10299.74,23.6,58.38,Europe
China,2017,1365845614,14146.4,3.28,79.76,Asia
Brazil,2006,410394334,9397.31,18.13,87.15,South America
France,2020,817607927,19398.43,10.41,32.71,Europe
Brazil,2020,179959093,22123.17,10.38,53.97,South America
UK,2004,867449562,1586.98,16.78,56.73,Europe
France,2022,1236895066,15921.54,20.63,72.27,Europe
UK,2024,654997629,8009.73,8.32,39.39,Europe
Brazil,2023,120718786,14623.55,18.22,36.12,South America
India,2021,405815974,12149.29,16.63,72.8,Asia
UK,2006,625782123,8408.6,13.9,45.54,Europe
France,2024,296432284,2460.91,15.86,10.36,Europe
France,2021,193295886,14030.05,2.42,93.47,Europe
UK,2016,501571421,2908.53,2.09,23.32,Europe
Australia,2003,182118375,3987.39,14.66,23.23,Oceania
Brazil,2023,301593270,24556.16,14.05,82.83,South America
Australia,2022,75303472,7985.96,3.64,39.86,Oceania
Canada,2015,724333056,14652.46,13.32,39.21,North America
Brazil,2018,1197300316,6878.58,19.42,65.39,South America
UK,2009,704146996,21651.19,14.45,15.25,Europe
USA,2002,1283812703,7155.17,13.91,31.09,North America
UK,2002,1196142281,9235.44,18.51,14.74,Europe
Australia,2016,200496154,15248.85,5.95,35.94,Oceania
India,2009,964713586,21762.67,12.52,87.42,Asia
UK,2016,681930695,20423.73,5.41,90.93,Europe
UK,2021,863159282,6670.11,14.05,37.54,Europe
India,2016,260794153,20755.92,15.61,26.7,Asia
UK,2020,988521078,17559.76,4.8,22.04,Europe
Germany,2003,263480802,24746.73,3.74,45.1,Europe
USA,2020,668822831,23392.65,5.83,83.55,North America
China,2022,1398644376,13375.1,15.49,85.89,Asia
USA,2005,1072385040,18773.22,6.36,14.09,North America
UK,2011,1276935830,14297.47,8.33,28.62,Europe
Germany,2024,1360762840,14915.39,18.16,28.08,Europe
Brazil,2021,1006290735,2627.37,7.71,83.73,South America
UK,2024,1333100152,155.92,11.14,50.61,Europe
Australia,2019,772169392,1299.84,23.36,42.79,Oceania
Germany,2016,61500702,24169.1,20.97,95.14,Europe
India,2016,1015350917,3244.08,7.88,92.36,Asia
Germany,2009,974442739,1205.3,15.74,49.17,Europe
India,2006,29826807,7810.14,17.31,21.42,Asia
Canada,2015,885473534,14745.68,22.71,25.22,North America
China,2012,121860611,23716.67,14.59,19.98,Asia
Russia,2002,228947239,17527.2,14.91,70.56,Europe/Asia
Germany,2001,159105832,6981.19,22.43,59.37,Europe
France,2015,936964928,23482.54,3.25,59.54,Europe
Australia,2005,890837657,997.42,16.45,18.76,Oceania
UK,2005,684007734,24478.44,11.58,80.6,Europe
Australia,2012,1059162569,1560.15,22.92,57.67,Oceania
USA,2006,653459670,18870.86,24.09,18.1,North America
Russia,2004,1249028272,1227.91,5.92,76.49,Europe/Asia
USA,2023,245610716,23295.88,8.47,97.34,North America
Canada,2006,884493229,2805.78,8.29,49.27,North America
Russia,2001,480305562,1356.93,4.31,20.29,Europe/Asia
Russia,2016,799070058,22242.7,13.11,19.02,Europe/Asia
USA,2012,1315944158,2485.27,13.8,12.3,North America
India,2024,606125094,19968.49,15.18,78.57,Asia
USA,2020,639178121,18701.16,17.25,71.77,North America
Australia,2020,483774541,15012.06,3.45,62.0,Oceania
India,2015,827399120,9511.27,16.32,78.14,Asia
Australia,2019,53036558,22897.96,23.02,98.94,Oceania
Canada,2001,572666783,21789.92,12.46,45.76,North America
UK,2004,447720805,10713.55,4.45,72.82,Europe
Brazil,2017,1226331263,5869.95,3.98,43.57,South America
India,2006,847715656,6887.03,8.48,41.33,Asia
Canada,2010,679353528,5586.06,19.31,85.73,North America
France,2024,153547850,13577.17,8.0,61.15,Europe
Canada,2024,673511889,21726.62,20.73,20.73,North America
USA,2010,249480402,19362.94,20.85,45.91,North America
USA,2021,801193717,19908.21,12.51,80.89,North America
Brazil,2016,283299217,11262.38,8.92,93.66,South America
Canada,2015,1278810769,8128.88,15.75,64.68,North America
China,2012,884421707,18958.16,20.64,45.09,Asia
UK,2021,363950659,19853.13,3.49,32.43,Europe
USA,2004,653691950,17414.31,23.93,47.56,North America
Brazil,2019,1298900594,899.47,16.86,60.34,South America
UK,2015,242677572,14783.15,11.16,10.39,Europe
Canada,2021,289558213,8741.44,13.64,33.91,North America
Canada,2021,1086371990,4985.2,10.87,69.76,North America
Russia,2015,1194577833,17390.44,11.49,69.92,Europe/Asia
Brazil,2015,850779255,6786.3,15.7,68.12,South America
USA,2013,232808216,22829.74,3.39,94.54,North America
China,2005,181568941,7522.17,6.03,60.6,Asia
Canada,2001,634259075,13924.0,7.22,34.01,North America
China,2013,437669427,20711.28,11.37,82.23,Asia
Canada,2015,467312031,10112.75,10.53,44.65,North America
USA,2022,694190187,20733.58,18.61,31.3,North America
UK,2019,57335705,18120.04,7.96,59.55,Europe
Germany,2012,1381025994,23029.56,3.31,35.72,Europe
UK,2014,587926858,8213.28,3.28,45.26,Europe
Canada,2011,985927212,2715.2,2.26,71.69,North America
Australia,2008,1295688985,10815.7,2.87,98.64,Oceania
Germany,2017,643445255,19666.76,21.75,67.38,Europe
Germany,2020,167216063,11315.83,18.04,34.61,Europe
China,2013,217307452,6623.5,24.91,18.05,Asia
Brazil,2019,1290176852,787.32,2.47,42.22,South America
China,2024,659589972,7894.29,21.53,11.72,Asia
China,2003,1148548743,17863.19,18.01,51.36,Asia
Australia,2007,935645093,3775.58,16.73,68.74,Oceania
UK,2007,1391409228,8587.9,10.2,55.55,Europe
UK,2021,352587547,603.76,10.66,87.01,Europe
France,2021,1212948037,18071.7,21.45,53.97,Europe
Canada,2015,899323182,22029.01,18.41,51.15,North America
Australia,2023,324711958,14256.36,17.42,37.56,Oceania
France,2009,275094009,744.22,2.7,84.55,Europe
USA,2024,1072523856,5518.87,6.24,90.42,North America
Canada,2020,677255304,11017.88,24.14,97.03,North America
Canada,2016,777970251,14730.77,12.45,97.33,North America
Russia,2000,151630009,12457.28,19.97,97.26,Europe/Asia
Russia,2017,1253918773,22905.06,10.95,73.36,Europe/Asia
India,2009,1205437061,23472.04,19.58,60.08,Asia
India,2020,605874952,2768.1,4.74,25.34,Asia
China,2003,800034419,3545.93,2.97,78.27,Asia
USA,2000,790263908,9015.57,12.72,75.4,North America
Germany,2003,1152029876,10588.75,15.61,84.97,Europe
Germany,2003,1342025538,14693.06,9.45,51.16,Europe
Russia,2003,529948705,19351.68,18.47,89.43,Europe/Asia
Russia,2016,735492974,3480.62,13.4,73.96,Europe/Asia
Russia,2008,626713727,20085.73,23.35,25.23,Europe/Asia
Australia,2018,256130154,15289.71,3.95,28.41,Oceania
Brazil,2012,148122300,24524.02,3.53,82.47,South America
India,2003,197607880,16314.08,22.82,47.89,Asia
Australia,2004,1179025229,17930.68,17.39,32.16,Oceania
UK,2012,550487336,4960.7,17.44,47.61,Europe
Germany,2022,759786527,19244.66,2.63,24.36,Europe
Canada,2015,161444530,2073.73,23.57,89.36,North America
India,2021,1181537312,16447.61,19.75,16.37,Asia
France,2004,903419412,1483.77,19.58,41.44,Europe
UK,2007,171533888,2969.12,22.97,59.57,Europe
India,2015,242418219,2785.87,15.3,87.75,Asia
Australia,2000,639613834,1406.85,11.08,79.56,Oceania
USA,2022,566802560,8096.36,13.06,12.0,North America
Canada,2005,1137661434,24859.38,19.88,83.45,North America
India,2010,360661514,8770.81,19.68,66.79,Asia
Brazil,2015,1197209788,19043.32,16.02,21.87,South America
Russia,2004,1161120710,3394.69,7.02,64.96,Europe/Asia
Russia,2015,1154950529,11416.83,20.83,82.79,Europe/Asia
Canada,2006,972876494,4709.38,16.89,63.59,North America
Australia,2018,521665415,4883.22,7.09,98.92,Oceania
Russia,2000,253682867,2582.28,13.05,55.12,Europe/Asia
India,2008,759066990,10857.9,24.94,69.91,Asia
France,2017,325681817,1980.82,9.55,16.26,Europe
Germany,2012,475000167,22754.3,4.68,82.37,Europe
Germany,2014,1132815977,11252.72,2.5,65.55,Europe
UK,2002,1244174834,20980.3,6.25,59.95,Europe
China,2023,992978530,24488.66,6.3,73.08,Asia
USA,2009,813968947,16976.7,21.74,59.89,North America
Canada,2008,401255528,22547.62,5.59,78.21,North America
UK,2012,195637947,3470.65,21.84,61.93,Europe
China,2015,436955768,20766.84,3.99,56.28,Asia
Australia,2002,1052126565,6853.31,22.85,22.02,Oceania
Brazil,2021,472939463,11867.69,7.9,51.99,South America
Brazil,2022,170511881,16199.91,16.06,57.9,South America
USA,2014,626063742,22598.24,5.67,65.59,North America
Russia,2016,442120086,22783.75,10.97,50.57,Europe/Asia
India,2013,563880131,2393.35,3.97,23.05,Asia
UK,2006,531029743,9177.43,15.33,23.38,Europe
UK,2019,931558003,19850.06,9.96,74.17,Europe
Canada,2015,22005861,17608.61,21.6,68.87,North America
Canada,2020,1309069718,756.18,6.18,33.1,North America
Brazil,2007,853895748,11302.25,8.44,49.68,South America
Brazil,2003,505472183,20748.4,6.08,37.32,South America
France,2019,322286000,18468.34,14.97,26.11,Europe
France,2023,1396377360,10355.06,4.57,39.03,Europe
Russia,2014,772115224,18405.51,6.36,33.38,Europe/Asia
France,2004,74222143,13825.15,17.61,17.34,Europe
India,2012,197394325,22824.46,3.71,54.9,Asia
India,2005,618552609,14719.47,19.09,50.13,Asia
UK,2004,1041757465,10078.28,4.4,73.6,Europe
Germany,2016,359982907,21586.72,15.47,65.21,Europe
India,2006,1386663489,1341.73,24.95,40.56,Asia
China,2005,1243021467,22522.72,6.0,54.17,Asia
Brazil,2001,653674049,17439.04,8.0,57.71,South America
Canada,2010,164774022,23521.09,22.66,91.66,North America
France,2006,466274883,6337.57,16.4,97.37,Europe
UK,2021,943700016,17403.54,13.33,82.58,Europe
USA,2020,1204730278,20255.64,14.94,60.03,North America
Canada,2007,922253957,17582.35,8.8,92.6,North America
China,2004,1252795144,5337.31,21.67,25.85,Asia
France,2017,237589363,6962.18,19.14,71.99,Europe
China,2021,708693819,14211.88,16.78,50.98,Asia
Brazil,2015,468324190,11224.09,23.43,22.88,South America
Brazil,2013,887003709,18404.42,15.3,16.69,South America
Russia,2011,597810019,9529.05,13.77,52.79,Europe/Asia
UK,2016,1007943364,21501.06,24.44,31.27,Europe
Canada,2004,5383305,10854.82,6.74,32.3,North America
Australia,2013,449229134,1097.03,5.27,38.5,Oceania
Australia,2005,258791672,532.37,5.73,73.93,Oceania
Canada,2014,1301402684,16203.89,24.76,24.6,North America
USA,2006,707579808,13559.77,17.0,73.86,North America
UK,2013,861540932,13614.34,9.04,79.66,Europe
China,2017,1223916388,19771.22,7.73,62.91,Asia
USA,2000,183837607,9455.43,3.3,32.03,North America
Germany,2005,730635854,24886.63,5.03,14.59,Europe
Canada,2002,742170448,23643.7,22.89,46.31,North America
China,2004,819219772,422.75,19.19,85.42,Asia
Australia,2011,1364509292,22403.99,23.66,19.07,Oceania
India,2010,198225150,17045.69,11.75,76.29,Asia
Russia,2012,422773945,12602.05,15.83,51.64,Europe/Asia
Australia,2015,417148649,14610.41,13.12,90.0,Oceania
UK,2017,999427344,21062.25,22.27,41.7,Europe
Brazil,2016,1014186500,23780.83,24.8,72.72,South America
India,2016,222799824,14052.31,23.45,75.87,Asia
Russia,2010,830251267,4614.16,15.76,27.69,Europe/Asia
Russia,2019,62540230,16029.87,3.42,24.08,Europe/Asia
Germany,2009,1017005464,1997.85,16.2,18.25,Europe
Germany,2015,1395349924,15914.95,4.23,72.44,Europe
France,2001,376595559,20234.43,5.19,58.79,Europe
Australia,2016,1371283687,8897.95,6.4,17.72,Oceania
Australia,2021,87970410,1872.49,10.36,37.44,Oceania
Australia,2019,1069739400,17336.43,15.61,22.67,Oceania
France,2009,942833938,8549.29,9.67,18.25,Europe
USA,2012,1352012530,6302.51,12.4,36.59,North America
Russia,2011,573635670,17260.63,3.09,18.57,Europe/Asia
India,2014,1232782494,24242.7,16.25,33.16,Asia
UK,2006,810706143,18658.53,17.11,59.19,Europe
Russia,2021,681432542,12334.62,4.29,59.92,Europe/Asia
Germany,2020,427491920,15052.72,20.06,24.95,Europe
China,2012,444642991,3642.74,16.89,27.0,Asia
Brazil,2011,804624550,20349.01,13.26,86.09,South America
France,2011,1213014165,15146.95,14.72,24.86,Europe
Canada,2001,278386431,24149.18,13.57,14.07,North America
China,2004,345590772,24489.14,3.24,31.79,Asia
UK,2024,274602738,8929.21,18.91,61.3,Europe
Australia,2024,782673063,24714.79,13.77,10.64,Oceania
Germany,2001,1398217913,23925.15,5.97,97.66,Europe
Germany,2022,1008833399,16031.82,17.66,30.5,Europe
Germany,2019,287985951,8403.26,17.99,31.19,Europe
Australia,2012,555000908,18858.17,6.91,75.74,Oceania
Canada,2002,1167671166,6853.81,20.32,32.09,North America
France,2010,1245887269,15783.11,12.5,45.26,Europe
China,2015,1042337445,712.08,6.15,58.41,Asia
Australia,2000,738166785,15751.71,17.13,11.95,Oceania
UK,2018,356330425,23795.05,15.72,84.52,Europe
France,2010,911357367,5955.06,5.92,55.57,Europe
UK,2008,101382596,19476.67,22.06,37.85,Europe
France,2013,138587914,7406.25,21.65,45.58,Europe
Canada,2008,759294487,17725.46,21.23,14.97,North America
Brazil,2006,223089677,17529.31,11.18,73.9,South America
UK,2015,580799404,4699.97,20.97,58.02,Europe
Australia,2002,500302109,14968.48,21.43,91.35,Oceania
France,2018,1253640871,21493.31,24.92,51.31,Europe
Germany,2003,1253123051,9625.07,24.02,83.73,Europe
Russia,2006,925966882,17785.9,10.81,26.76,Europe/Asia
Germany,2022,1324323860,16893.31,6.56,15.03,Europe
USA,2011,842253878,6512.1,8.73,94.41,North America
Brazil,2017,372016549,22974.22,13.38,32.87,South America
Brazil,2004,777575745,14131.45,20.53,84.19,South America
Germany,2022,572181735,8946.79,18.63,32.9,Europe
China,2022,631393636,4192.52,20.12,23.87,Asia
Canada,2021,1305404853,11889.11,10.74,75.2,North America
UK,2009,527523873,18279.82,7.68,79.28,Europe
Australia,2011,1269412746,15628.64,2.55,85.08,Oceania
Brazil,2007,154651107,18203.61,16.4,86.97,South America
Germany,2018,892363914,19814.84,20.29,53.0,Europe
Germany,2014,75277064,11081.02,22.45,45.62,Europe
Canada,2000,583160837,13052.14,12.95,76.84,North America
Canada,2002,1376944183,24661.91,23.34,60.68,North America
India,2017,1362849889,24204.48,6.66,95.91,Asia
India,2017,841885049,10428.95,13.83,43.45,Asia
China,2001,1014588078,17160.97,6.92,13.82,Asia
China,2004,1345544676,6763.0,6.33,62.45,Asia
USA,2000,1162497439,3902.17,23.93,41.46,North America
China,2009,993551819,19233.19,20.81,40.5,Asia
France,2019,1111759148,10960.88,2.27,60.24,Europe
Canada,2009,1399633680,4508.61,8.18,92.04,North America
Australia,2004,418820291,18995.31,6.72,33.76,Oceania
France,2017,1015673001,22887.74,5.38,43.78,Europe
UK,2020,1090255456,23338.51,18.04,89.32,Europe
Germany,2014,701180335,14948.71,15.04,89.67,Europe
China,2019,12378794,12043.06,12.44,30.88,Asia
Germany,2007,747097928,3632.48,6.36,72.86,Europe
Brazil,2016,671603489,19840.47,8.39,46.98,South America
USA,2011,1346718758,23638.55,10.19,93.3,North America
Brazil,2020,866520861,22247.56,20.07,75.17,South America
USA,2011,563701681,18819.41,24.75,54.0,North America
India,2000,1753830,213.76,6.23,82.75,Asia
Germany,2003,699388008,10253.0,9.86,98.81,Europe
USA,2007,578587499,10326.78,8.44,49.79,North America
Russia,2000,392108642,22369.77,3.01,43.24,Europe/Asia
France,2014,957463510,1734.7,7.04,64.03,Europe
USA,2017,1261692981,13327.44,22.74,70.79,North America
USA,2000,485946233,3489.75,21.39,72.7,North America
France,2010,642446703,16591.12,5.85,52.15,Europe
Germany,2022,783545638,19827.16,10.42,39.57,Europe
Germany,2001,1274848376,16084.78,9.15,83.15,Europe
France,2000,553694998,19885.17,5.4,95.29,Europe
Brazil,2011,156412541,15226.66,16.31,86.89,South America
Russia,2015,1345364370,4826.99,14.82,70.73,Europe/Asia
Australia,2021,1047516080,9628.32,11.82,42.05,Oceania
UK,2021,24819631,23926.03,21.68,65.4,Europe
Russia,2009,833003645,7275.56,16.25,19.0,Europe/Asia
Germany,2017,645853853,1665.27,7.96,57.52,Europe
Australia,2014,10854420,9682.27,10.6,79.53,Oceania
