Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent,Rank
France,2007,593838267,24414,12,49,Europe,★★★★★
China,2007,595882090,23501,20,27,Asia,★★★★★
Brazil,2007,596470400,12039,11,14,South America,★★★
France,2007,597320296,15035,22,51,Europe,★★★★
France,2007,605264394,14334,6,52,Europe,★★★
Australia,2007,617902408,6408,2,39,Oceania,★★
China,2007,617934996,19341,20,43,Asia,★★★★
India,2007,628367006,18384,21,98,Asia,★★★★
Russia,2007,631474384,17682,8,30,Europe/Asia,★★★★
Canada,2007,632212822,17333,21,58,North America,★★★★
UK,2007,632877080,10836,22,31,Europe,★★★
Germany,2007,635606167,524,4,59,Europe,★
Germany,2007,642044162,13499,12,54,Europe,★★★
Brazil,2007,642243774,17650,19,11,South America,★★★★
Russia,2007,642741881,22177,5,35,Europe/Asia,★★★★★
USA,2007,643517024,9635,4,30,North America,★★
Brazil,2007,649039642,7900,12,91,South America,★★
USA,2007,649683078,11487,17,95,North America,★★★
UK,2007,651596327,20623,23,53,Europe,★★★★★
France,2007,652085290,16860,5,83,Europe,★★★★
USA,2007,652574970,18371,20,45,North America,★★★★
Brazil,2007,653814157,24039,21,20,South America,★★★★★
Canada,2007,656132682,4142,2,25,North America,★
Russia,2007,658691220,2625,5,84,Europe/Asia,★
China,2007,663925398,1709,19,65,Asia,★
Germany,2007,666118640,4233,23,34,Europe,★
India,2007,673304386,13585,10,93,Asia,★★★
Germany,2007,685023747,20462,13,77,Europe,★★★★★
USA,2007,686659412,6831,14,20,North America,★★
Canada,2007,691198366,15435,3,44,North America,★★★★
India,2007,692590858,12227,14,48,Asia,★★★
India,2007,695970792,12430,22,40,Asia,★★★
France,2007,698719690,2095,5,89,Europe,★
Canada,2007,700960567,2388,12,74,North America,★
Brazil,2007,703037536,5276,2,39,South America,★★
Brazil,2007,703221255,22388,13,44,South America,★★★★★
France,2007,710691350,11938,24,98,Europe,★★★
Brazil,2007,712122572,11256,12,95,South America,★★★
Brazil,2007,716170803,13538,19,49,South America,★★★
Germany,2007,721506630,16730,16,16,Europe,★★★★
India,2007,734132839,16483,21,77,Asia,★★★★
France,2007,734234754,2344,18,69,Europe,★
USA,2007,740477261,8571,19,51,North America,★★
France,2007,741930701,13972,13,13,Europe,★★★
Brazil,2007,746013605,17435,23,26,South America,★★★★
India,2007,746133076,13311,23,16,Asia,★★★
Germany,2007,747097928,3632,6,72,Europe,★
USA,2007,757363695,8251,3,56,North America,★★
India,2007,769635149,17428,11,44,Asia,★★★★
Australia,2007,772009782,20792,3,49,Oceania,★★★★★
Canada,2007,774682632,19492,12,10,North America,★★★★
UK,2007,777400873,12124,11,82,Europe,★★★
UK,2007,778735686,14225,20,78,Europe,★★★
Brazil,2007,779733214,11025,9,67,South America,★★★
France,2007,779756180,14410,15,75,Europe,★★★
India,2007,780055460,12729,4,11,Asia,★★★
China,2007,786007909,592,2,86,Asia,★
UK,2007,786728585,21693,13,49,Europe,★★★★★
Brazil,2007,789473683,23561,23,34,South America,★★★★★
Canada,2007,800686427,10585,15,35,North America,★★★
Russia,2007,801432569,22868,6,94,Europe/Asia,★★★★★
Australia,2007,813646468,4674,23,36,Oceania,★
Russia,2007,813759456,13254,6,27,Europe/Asia,★★★
USA,2007,814212808,18771,5,74,North America,★★★★
Russia,2007,818423430,4128,17,92,Europe/Asia,★
Germany,2007,818889570,22242,9,68,Europe,★★★★★
USA,2007,822795623,15727,6,92,North America,★★★★
France,2007,830456285,13019,18,35,Europe,★★★
Canada,2007,840272531,16926,16,58,North America,★★★★
Brazil,2007,843471357,24472,14,66,South America,★★★★★
China,2007,843558831,2927,9,42,Asia,★
France,2007,850046672,23654,8,38,Europe,★★★★★
Brazil,2007,853895748,11302,8,49,South America,★★★
USA,2007,854036326,7709,13,17,North America,★★
Australia,2007,856741034,9070,13,93,Oceania,★★
China,2007,860795404,12502,8,59,Asia,★★★
Canada,2007,861136600,12966,14,83,North America,★★★
China,2007,873151239,20955,2,78,Asia,★★★★★
UK,2007,876232759,13415,3,14,Europe,★★★
UK,2007,879980201,17972,12,10,Europe,★★★★
UK,2007,883396181,7079,23,11,Europe,★★
Australia,2007,883780993,18791,22,91,Oceania,★★★★
Canada,2007,885857743,7821,23,57,North America,★★
Australia,2007,886743233,16578,16,44,Oceania,★★★★
Germany,2007,894148485,11149,23,84,Europe,★★★
UK,2007,904814927,23571,20,80,Europe,★★★★★
Brazil,2007,906496140,7733,13,11,South America,★★
Brazil,2007,914136142,8656,15,12,South America,★★
Canada,2007,918925350,16960,8,15,North America,★★★★
Canada,2007,922253957,17582,8,92,North America,★★★★
UK,2007,926497511,17087,22,86,Europe,★★★★
Brazil,2007,932720910,19812,23,62,South America,★★★★
Australia,2007,935645093,3775,16,68,Oceania,★
Germany,2007,945794362,10205,24,21,Europe,★★★
Russia,2007,948667111,1526,7,29,Europe/Asia,★
Germany,2007,949467985,8852,5,49,Europe,★★
UK,2007,952128854,21485,14,70,Europe,★★★★★
France,2007,954670766,11209,17,39,Europe,★★★
Russia,2007,958396192,9874,3,19,Europe/Asia,★★
India,2007,964372416,14514,11,67,Asia,★★★
USA,2007,971081550,10789,4,59,North America,★★★
India,2007,982680127,20966,6,36,Asia,★★★★★
Canada,2007,989232443,17839,22,84,North America,★★★★
Canada,2007,997367912,831,17,11,North America,★
France,2007,998366842,8278,20,98,Europe,★★
UK,2007,1000611615,206,24,93,Europe,★
UK,2007,1003623574,13683,3,35,Europe,★★★
USA,2007,1003925810,12409,20,44,North America,★★★
China,2007,1009631278,10079,19,84,Asia,★★★
Canada,2007,1017711727,11725,6,15,North America,★★★
Australia,2007,1019269551,15355,20,84,Oceania,★★★★
Brazil,2007,1023143729,22714,11,15,South America,★★★★★
Australia,2007,1026160935,16677,24,19,Oceania,★★★★
Canada,2007,1034561616,5919,18,53,North America,★★
Australia,2007,1035303952,23620,4,48,Oceania,★★★★★
Australia,2007,1035497096,15860,11,13,Oceania,★★★★
India,2007,1035881127,8637,12,63,Asia,★★
China,2007,1038827073,11863,12,69,Asia,★★★
Russia,2007,1040553835,1866,6,28,Europe/Asia,★
Brazil,2007,1046190982,22460,9,94,South America,★★★★★
Brazil,2007,1047757119,22140,9,52,South America,★★★★★
India,2007,1048031123,4493,7,33,Asia,★
Canada,2007,1048215467,6390,15,42,North America,★★
France,2007,1048936457,22858,7,25,Europe,★★★★★
UK,2007,1050281829,21005,18,33,Europe,★★★★★
Russia,2007,1051408110,17564,3,88,Europe/Asia,★★★★
USA,2007,1055706322,18791,12,94,North America,★★★★
UK,2007,1061048369,20791,18,69,Europe,★★★★★
France,2007,1061723108,10380,11,72,Europe,★★★
Canada,2007,1064807062,12817,10,79,North America,★★★
Germany,2007,1071853522,5013,21,41,Europe,★★
Australia,2007,1076896174,22317,16,64,Oceania,★★★★★
USA,2007,1079696945,5183,16,97,North America,★★
USA,2007,1083395034,22902,21,95,North America,★★★★★
China,2007,1086688880,3239,12,53,Asia,★
UK,2007,1090290333,5815,21,29,Europe,★★
India,2007,1092785406,2098,9,20,Asia,★
Canada,2007,1095902409,22984,3,20,North America,★★★★★
India,2007,1096080739,12453,14,92,Asia,★★★
UK,2007,1096224210,6455,13,95,Europe,★★
Germany,2007,1099229329,22041,11,41,Europe,★★★★★
Australia,2007,1103707486,933,12,79,Oceania,★
USA,2007,1107244947,7916,11,19,North America,★★
China,2007,1113908040,702,12,24,Asia,★
India,2007,1115657144,13032,12,43,Asia,★★★
Russia,2007,1119984934,3574,8,38,Europe/Asia,★
Russia,2007,1120382355,22391,11,53,Europe/Asia,★★★★★
China,2007,1121090484,837,16,31,Asia,★
Russia,2007,1123128202,19849,8,66,Europe/Asia,★★★★
Germany,2007,1124786744,571,18,45,Europe,★
Germany,2007,1124912869,21077,20,66,Europe,★★★★★
China,2007,1127643844,19900,19,45,Asia,★★★★
Australia,2007,1129086405,15456,18,57,Oceania,★★★★
Russia,2007,1129674358,5215,18,92,Europe/Asia,★★
India,2007,1131391893,21520,6,53,Asia,★★★★★
Germany,2007,1133575387,3493,5,98,Europe,★
Australia,2007,1134680376,18154,14,92,Oceania,★★★★
UK,2007,1134690242,1545,5,54,Europe,★
China,2007,1137870864,16259,13,50,Asia,★★★★
Russia,2007,1142885704,12628,8,70,Europe/Asia,★★★
Russia,2007,1144456262,5318,12,36,Europe/Asia,★★
India,2007,1145018053,2173,11,33,Asia,★
USA,2007,1153216646,6716,23,34,North America,★★
USA,2007,1154199185,4461,11,44,North America,★
Canada,2007,1154902347,409,4,34,North America,★
Brazil,2007,1156610238,9293,8,50,South America,★★
Australia,2007,1157739950,6129,4,48,Oceania,★★
France,2007,1159128745,14562,23,79,Europe,★★★
Russia,2007,1159943681,14083,11,41,Europe/Asia,★★★
Australia,2007,1160199601,15674,4,91,Oceania,★★★★
Germany,2007,1160651825,23881,23,90,Europe,★★★★★
Australia,2007,1161009045,13754,13,26,Oceania,★★★
Canada,2007,1161520639,21305,2,42,North America,★★★★★
France,2007,1162409121,24078,15,33,Europe,★★★★★
France,2007,1174915722,2254,2,93,Europe,★
Russia,2007,1176686568,3956,14,61,Europe/Asia,★
Canada,2007,1177385835,6519,15,13,North America,★★
Brazil,2007,1177927089,4328,18,95,South America,★
UK,2007,1177975846,6326,7,83,Europe,★★
Canada,2007,1183729560,14421,19,49,North America,★★★
Australia,2007,1183896327,22006,2,73,Oceania,★★★★★
USA,2007,1187377571,5363,4,69,North America,★★
UK,2007,1191362667,13838,10,39,Europe,★★★
Canada,2007,1194529084,21853,10,80,North America,★★★★★
China,2007,1194539093,7415,7,36,Asia,★★
Germany,2007,1199716532,3340,19,42,Europe,★
India,2007,1202914731,15068,24,94,Asia,★★★★
India,2007,1205043612,10422,23,28,Asia,★★★
USA,2007,1212216582,11751,22,71,North America,★★★
India,2007,1213751843,20490,5,64,Asia,★★★★★
Canada,2007,1215578993,3378,2,16,North America,★
China,2007,1216512432,22629,2,30,Asia,★★★★★
UK,2007,1226977062,3772,6,89,Europe,★
Canada,2007,1226988911,17591,4,77,North America,★★★★
Canada,2007,1229006643,8232,11,21,North America,★★
France,2007,1229974727,9958,9,26,Europe,★★
USA,2007,1233482432,20206,8,83,North America,★★★★★
USA,2007,1238624685,22102,4,27,North America,★★★★★
Russia,2007,1243713952,23813,23,20,Europe/Asia,★★★★★
France,2007,1246758332,19892,21,77,Europe,★★★★
USA,2007,1249730473,22612,10,82,North America,★★★★★
China,2007,1252058788,17738,7,13,Asia,★★★★
India,2007,1255348603,20446,21,35,Asia,★★★★★
Russia,2007,1257652261,1205,5,91,Europe/Asia,★
UK,2007,1258350917,18718,23,16,Europe,★★★★
Australia,2007,1261190244,16442,10,98,Oceania,★★★★
Australia,2007,1265394938,8345,16,39,Oceania,★★
Canada,2007,1265682747,21393,22,22,North America,★★★★★
Canada,2007,1265836603,10426,3,27,North America,★★★
USA,2007,1266564296,22303,16,71,North America,★★★★★
China,2007,1268995664,13831,4,42,Asia,★★★
Australia,2007,1276986074,9914,2,83,Oceania,★★
India,2007,1282601704,15132,21,56,Asia,★★★★
Brazil,2007,1283533127,7235,10,34,South America,★★
UK,2007,1284775653,16174,14,50,Europe,★★★★
India,2007,1293731096,18156,5,94,Asia,★★★★
Brazil,2007,1304194312,367,8,32,South America,★
Brazil,2007,1309658419,12634,11,51,South America,★★★
Australia,2007,1313227900,14768,4,63,Oceania,★★★
India,2007,1314224132,6307,17,51,Asia,★★
Canada,2007,1315740251,7760,20,95,North America,★★
China,2007,1321155805,15504,21,27,Asia,★★★★
Germany,2007,1323608143,3901,10,40,Europe,★
Germany,2007,1327755317,6386,13,21,Europe,★★
UK,2007,1327802808,9991,8,19,Europe,★★
India,2007,1329037115,8199,22,59,Asia,★★
France,2007,1329978997,2344,16,39,Europe,★
Russia,2007,1340016414,24345,7,13,Europe/Asia,★★★★★
USA,2007,1340456929,5518,2,40,North America,★★
India,2007,1341478800,13259,7,92,Asia,★★★
UK,2007,1345608015,17090,12,61,Europe,★★★★
France,2007,1348141477,864,20,16,Europe,★
India,2007,1349425507,12221,24,51,Asia,★★★
Australia,2007,1360366354,6585,20,45,Oceania,★★
Australia,2007,1360519215,5073,5,17,Oceania,★★
USA,2007,1364550912,13374,24,13,North America,★★★
France,2007,1366933506,15865,23,53,Europe,★★★★
India,2007,1374433014,4534,12,27,Asia,★
India,2007,1376332005,11281,13,11,Asia,★★★
China,2007,1382192504,2322,11,81,Asia,★
Russia,2007,1383596210,20317,24,23,Europe/Asia,★★★★★
Germany,2007,1384601710,4234,21,95,Europe,★
Australia,2007,1386002884,5275,6,43,Oceania,★★
China,2007,1391350547,16874,10,34,Asia,★★★★
UK,2007,1391409228,8587,10,55,Europe,★★
USA,2007,1394632159,5638,16,98,North America,★★
India,2007,1396580212,19420,16,52,Asia,★★★★
Canada,2007,1396810298,21256,17,13,North America,★★★★★
France,2008,4347891,23033,7,55,Europe,★★★★★
Brazil,2008,4736437,5726,9,96,South America,★★
Brazil,2008,6340534,19092,6,66,South America,★★★★
India,2008,8859553,17985,14,93,Asia,★★★★
Brazil,2008,10140108,18663,17,16,South America,★★★★
India,2008,14178962,147,11,87,Asia,★
France,2008,15486679,13318,14,43,Europe,★★★
Russia,2008,17862274,24800,14,78,Europe/Asia,★★★★★
China,2008,23379444,20310,6,60,Asia,★★★★★
Brazil,2008,24801527,21983,17,89,South America,★★★★★
USA,2008,33102110,19248,2,16,North America,★★★★
Russia,2008,33899444,8859,17,27,Europe/Asia,★★
Russia,2008,37447149,2139,13,37,Europe/Asia,★
China,2008,43750503,18907,19,47,Asia,★★★★
Germany,2008,46706368,13921,4,45,Europe,★★★
Canada,2008,49132603,1189,13,52,North America,★
Brazil,2008,50146601,8680,13,58,South America,★★
Brazil,2008,55862677,6427,17,47,South America,★★
France,2008,56734388,4503,20,19,Europe,★
China,2008,59374082,21793,15,32,Asia,★★★★★
France,2008,61045711,20362,5,18,Europe,★★★★★
Australia,2008,65789336,24996,21,79,Oceania,★★★★★
UK,2008,74650760,22810,17,36,Europe,★★★★★
Germany,2008,75096006,12307,10,25,Europe,★★★
Germany,2008,75197308,1597,21,27,Europe,★
India,2008,87592463,4720,10,63,Asia,★
France,2008,96534026,20018,15,39,Europe,★★★★★
Germany,2008,99729741,2055,6,18,Europe,★
UK,2008,101382596,19476,22,37,Europe,★★★★
Germany,2008,113282293,8123,8,53,Europe,★★
China,2008,122076511,9692,6,32,Asia,★★
UK,2008,123486014,17961,20,25,Europe,★★★★
Germany,2008,129036068,14238,23,13,Europe,★★★
Australia,2008,134062190,15348,18,84,Oceania,★★★★
China,2008,141023530,1727,23,90,Asia,★
China,2008,143960336,8044,24,52,Asia,★★
Russia,2008,144483573,6642,4,68,Europe/Asia,★★
Canada,2008,145321185,24783,9,49,North America,★★★★★
Germany,2008,145499125,5520,23,46,Europe,★★
France,2008,145969416,8916,7,49,Europe,★★
China,2008,150799874,10735,11,92,Asia,★★★
Russia,2008,153029392,24455,8,92,Europe/Asia,★★★★★
Germany,2008,153252294,10352,24,28,Europe,★★★
India,2008,164606961,14441,8,94,Asia,★★★
China,2008,172507428,2392,24,37,Asia,★
China,2008,179124427,9073,18,76,Asia,★★
USA,2008,179154641,363,8,86,North America,★
China,2008,179684536,1123,9,76,Asia,★
Australia,2008,183926771,12327,8,75,Oceania,★★★
UK,2008,186943559,18512,14,69,Europe,★★★★
USA,2008,188857403,19630,3,52,North America,★★★★
USA,2008,189321518,2197,24,59,North America,★
France,2008,195135671,5722,23,87,Europe,★★
Australia,2008,195755220,6815,13,18,Oceania,★★
China,2008,196326326,13104,15,77,Asia,★★★
USA,2008,199109442,15874,7,71,North America,★★★★
USA,2008,211074710,4998,18,96,North America,★
France,2008,216675924,17683,24,53,Europe,★★★★
France,2008,219881083,10459,21,76,Europe,★★★
USA,2008,222322477,2118,17,23,North America,★
China,2008,228618577,20458,24,23,Asia,★★★★★
France,2008,236545417,24606,24,39,Europe,★★★★★
China,2008,240643024,16225,9,12,Asia,★★★★
Brazil,2008,244506056,12213,18,22,South America,★★★
Germany,2008,244583051,15442,7,80,Europe,★★★★
Canada,2008,250380148,18973,20,75,North America,★★★★
Canada,2008,256587637,19892,17,91,North America,★★★★
Australia,2008,260883033,14970,18,73,Oceania,★★★
Australia,2008,261459373,19946,10,31,Oceania,★★★★
USA,2008,261906704,4336,6,51,North America,★
Germany,2008,263202308,14086,4,68,Europe,★★★
Australia,2008,264371613,4064,13,35,Oceania,★
France,2008,270151756,2825,20,84,Europe,★
Australia,2008,272719925,6449,5,19,Oceania,★★
UK,2008,273686160,24011,18,55,Europe,★★★★★
India,2008,273830928,23087,19,46,Asia,★★★★★
China,2008,274380553,13090,3,75,Asia,★★★
USA,2008,281172137,8646,15,66,North America,★★
USA,2008,285997020,8474,23,31,North America,★★
China,2008,286083821,16600,11,47,Asia,★★★★
France,2008,289044687,8338,19,67,Europe,★★
Germany,2008,290092653,22235,9,53,Europe,★★★★★
UK,2008,290915570,20467,3,59,Europe,★★★★★
China,2008,294225405,18042,8,51,Asia,★★★★
Germany,2008,299276150,5932,4,51,Europe,★★
UK,2008,300190401,16016,8,25,Europe,★★★★
China,2008,301234094,22053,15,86,Asia,★★★★★
Germany,2008,309805650,20446,7,98,Europe,★★★★★
Australia,2008,314836091,19814,7,51,Oceania,★★★★
Germany,2008,317452438,8628,18,35,Europe,★★
Russia,2008,321311120,1600,3,80,Europe/Asia,★
India,2008,324497110,8885,20,12,Asia,★★
Germany,2008,334700012,9456,2,30,Europe,★★
UK,2008,340923747,19912,4,34,Europe,★★★★
USA,2008,343435121,16296,3,22,North America,★★★★
Brazil,2008,345981410,16262,17,90,South America,★★★★
China,2008,354890734,22232,11,20,Asia,★★★★★
Russia,2008,355475797,3838,20,55,Europe/Asia,★
Canada,2008,359156760,21184,5,21,North America,★★★★★
Australia,2008,359497897,2515,15,47,Oceania,★
UK,2008,359527151,24808,23,42,Europe,★★★★★
Canada,2008,361859623,5475,18,18,North America,★★
France,2008,361943295,10880,11,85,Europe,★★★
Canada,2008,364787204,338,3,75,North America,★
India,2008,368073768,2917,7,67,Asia,★
Canada,2008,372554469,1863,16,20,North America,★
India,2008,384480018,16621,13,45,Asia,★★★★
France,2008,385155691,5605,6,78,Europe,★★
UK,2008,385727452,4299,7,24,Europe,★
Canada,2008,386936811,2152,12,64,North America,★
USA,2008,387581163,20847,8,87,North America,★★★★★
UK,2008,388130117,16807,2,26,Europe,★★★★
UK,2008,390879169,17703,7,38,Europe,★★★★
Canada,2008,391649036,19081,23,25,North America,★★★★
China,2008,391945029,4946,9,75,Asia,★
Germany,2008,392073280,4675,13,24,Europe,★
USA,2008,392635665,14165,2,45,North America,★★★
India,2008,393958140,14479,4,53,Asia,★★★
Canada,2008,401255528,22547,5,78,North America,★★★★★
France,2008,401907943,11124,11,29,Europe,★★★
France,2008,404195302,22368,21,54,Europe,★★★★★
Russia,2008,408722244,18488,25,51,Europe/Asia,★★★★
India,2008,408925282,14546,13,85,Asia,★★★
India,2008,409756126,12570,3,61,Asia,★★★
France,2008,411180566,24917,13,55,Europe,★★★★★
UK,2008,412607764,11107,9,89,Europe,★★★
Russia,2008,417093359,10964,13,27,Europe/Asia,★★★
India,2008,417844304,8095,6,58,Asia,★★
USA,2008,420541541,15639,24,36,North America,★★★★
France,2008,420562592,2578,10,72,Europe,★
Canada,2008,421884195,13843,5,15,North America,★★★
Canada,2008,422803938,873,9,18,North America,★
UK,2008,425643317,10434,7,88,Europe,★★★
Germany,2008,429814782,18540,8,74,Europe,★★★★
Brazil,2008,430515917,18294,18,87,South America,★★★★
China,2008,430549899,8208,21,61,Asia,★★
USA,2008,431951253,7984,11,16,North America,★★
UK,2008,441033417,22462,20,90,Europe,★★★★★
Brazil,2008,442362217,19452,14,28,South America,★★★★
Russia,2008,442584439,18203,11,17,Europe/Asia,★★★★
USA,2008,444037310,7479,16,31,North America,★★
France,2008,447721815,18623,5,20,Europe,★★★★
Russia,2008,449115643,15847,9,70,Europe/Asia,★★★★
China,2008,453901882,18592,20,22,Asia,★★★★
China,2008,457336361,19248,12,46,Asia,★★★★
USA,2008,457830469,16502,8,55,North America,★★★★
UK,2008,459564188,14870,16,34,Europe,★★★
Brazil,2008,464513122,21129,21,29,South America,★★★★★
France,2008,469502118,10521,21,67,Europe,★★★
UK,2008,471815526,4962,19,95,Europe,★
Canada,2008,472138383,19029,3,53,North America,★★★★
Canada,2008,472292568,18045,17,83,North America,★★★★
India,2008,477986756,9905,13,90,Asia,★★
Russia,2008,480395160,17126,2,43,Europe/Asia,★★★★
Canada,2008,481666514,10375,15,57,North America,★★★
UK,2008,487014236,6994,9,88,Europe,★★
Canada,2008,492488812,10265,4,59,North America,★★★
USA,2008,492621564,408,11,76,North America,★
Canada,2008,498679903,9147,3,74,North America,★★
China,2008,500476994,19273,6,70,Asia,★★★★
USA,2008,502705078,17295,6,23,North America,★★★★
Germany,2008,508383613,23063,21,23,Europe,★★★★★
India,2008,510073991,17042,22,59,Asia,★★★★
India,2008,519131774,23662,12,18,Asia,★★★★★
USA,2008,520459500,22856,6,83,North America,★★★★★
Brazil,2008,528714597,16784,13,66,South America,★★★★
Germany,2008,539576862,573,2,42,Europe,★
USA,2008,541918545,22238,21,28,North America,★★★★★
Germany,2008,547221908,1374,7,56,Europe,★
India,2008,547719133,24108,13,29,Asia,★★★★★
Brazil,2008,549143930,7277,6,54,South America,★★
Brazil,2008,550824831,23567,13,39,South America,★★★★★
Canada,2008,567019442,2229,7,10,North America,★
USA,2008,574086221,22572,19,19,North America,★★★★★
Brazil,2008,575977769,23366,19,61,South America,★★★★★
India,2008,587550480,21992,12,72,Asia,★★★★★
Brazil,2008,588447818,19956,10,36,South America,★★★★
Brazil,2008,588479993,1482,9,45,South America,★
USA,2008,591781813,14145,6,96,North America,★★★
UK,2008,608165880,11184,17,52,Europe,★★★
China,2008,613632720,10280,3,28,Asia,★★★
India,2008,613867843,5996,16,59,Asia,★★
Canada,2008,616573229,23275,14,63,North America,★★★★★
Brazil,2008,621103274,2612,23,58,South America,★
Russia,2008,623614635,6230,5,98,Europe/Asia,★★
India,2008,624094529,4787,14,44,Asia,★
France,2008,624921074,22837,17,24,Europe,★★★★★
Russia,2008,626713727,20085,23,25,Europe/Asia,★★★★★
China,2008,630227068,18991,21,69,Asia,★★★★
France,2008,634916208,14230,17,23,Europe,★★★
Australia,2008,648072179,18895,19,36,Oceania,★★★★
China,2008,649435599,7001,4,92,Asia,★★
Brazil,2008,649970243,13325,23,70,South America,★★★
UK,2008,651135853,21646,18,18,Europe,★★★★★
Australia,2008,661054116,20420,24,73,Oceania,★★★★★
Australia,2008,663434260,7733,16,55,Oceania,★★
Canada,2008,668925988,17172,18,27,North America,★★★★
UK,2008,672366100,14777,22,36,Europe,★★★
France,2008,683329280,14984,19,39,Europe,★★★
Germany,2008,684089840,15086,8,91,Europe,★★★★
USA,2008,688478245,9440,22,42,North America,★★
USA,2008,696825771,9148,24,64,North America,★★
Germany,2008,700002091,940,3,34,Europe,★
Canada,2008,700382163,18098,5,87,North America,★★★★
Russia,2008,706486927,5883,13,77,Europe/Asia,★★
Brazil,2008,712525040,22183,21,21,South America,★★★★★
Russia,2008,714973499,5388,15,14,Europe/Asia,★★
USA,2008,718575878,22251,3,23,North America,★★★★★
USA,2008,721078936,10969,7,26,North America,★★★
UK,2008,729246043,6762,20,65,Europe,★★
Russia,2008,740544072,12339,3,30,Europe/Asia,★★★
Brazil,2008,742325240,12508,23,26,South America,★★★
UK,2008,753316920,24855,24,65,Europe,★★★★★
India,2008,759066990,10857,24,69,Asia,★★★
Canada,2008,759294487,17725,21,14,North America,★★★★
China,2008,760078337,24025,24,18,Asia,★★★★★
China,2008,761383943,6099,20,40,Asia,★★
Russia,2008,772135060,23162,23,79,Europe/Asia,★★★★★
UK,2008,775108551,5064,24,96,Europe,★★
Russia,2008,775358049,862,12,88,Europe/Asia,★
Russia,2008,780304107,20808,22,42,Europe/Asia,★★★★★
China,2008,781549965,19360,6,80,Asia,★★★★
Canada,2008,781752570,11351,3,33,North America,★★★
USA,2008,782276750,23876,15,98,North America,★★★★★
Germany,2008,790611373,4047,6,33,Europe,★
Canada,2008,794658904,6205,6,96,North America,★★
India,2008,800861235,14495,2,22,Asia,★★★
France,2008,801450405,19351,13,16,Europe,★★★★
Germany,2008,811166146,6226,23,50,Europe,★★
Australia,2008,811631457,9242,17,38,Oceania,★★
France,2008,812289704,12325,14,62,Europe,★★★
Brazil,2008,823633218,13559,12,64,South America,★★★
UK,2008,825675706,20623,17,63,Europe,★★★★★
China,2008,830806945,5571,17,20,Asia,★★
India,2008,831757474,21799,3,34,Asia,★★★★★
Canada,2008,835808820,12698,20,55,North America,★★★
USA,2008,838688223,1136,5,53,North America,★
USA,2008,845878495,754,15,74,North America,★
Australia,2008,855497766,1917,6,32,Oceania,★
UK,2008,861647585,214,9,94,Europe,★
Germany,2008,864034762,12711,4,76,Europe,★★★
Russia,2008,865420607,20505,9,88,Europe/Asia,★★★★★
France,2008,865876964,12134,24,19,Europe,★★★
USA,2008,866950862,6815,18,94,North America,★★
Germany,2008,868937597,21927,23,64,Europe,★★★★★
UK,2008,869703857,11485,24,63,Europe,★★★
India,2008,874961907,15231,8,21,Asia,★★★★
China,2008,879243274,10938,14,17,Asia,★★★
Canada,2008,887391951,2357,10,96,North America,★
Russia,2008,887809790,20636,18,93,Europe/Asia,★★★★★
France,2008,890061800,6276,14,11,Europe,★★
China,2008,895894840,20866,7,31,Asia,★★★★★
Germany,2008,901814381,9757,10,80,Europe,★★
Brazil,2008,902088147,12470,2,53,South America,★★★
Australia,2008,902110287,17314,11,98,Oceania,★★★★
Canada,2008,903390233,12103,12,14,North America,★★★
Russia,2008,919213015,4759,3,22,Europe/Asia,★
China,2008,922049275,21780,5,56,Asia,★★★★★
Russia,2008,923209910,15181,14,45,Europe/Asia,★★★★
China,2008,923756585,5282,16,12,Asia,★★
Canada,2008,926230041,22240,21,75,North America,★★★★★
Germany,2008,926503682,17140,15,94,Europe,★★★★
Australia,2008,927266225,2933,24,71,Oceania,★
France,2008,928052560,20159,18,74,Europe,★★★★★
Russia,2008,933627061,23218,13,40,Europe/Asia,★★★★★
Canada,2008,934223233,6191,3,66,North America,★★
Australia,2008,934292757,5516,9,23,Oceania,★★
India,2008,938988211,22263,8,22,Asia,★★★★★
India,2008,940820614,111,10,80,Asia,★
UK,2008,951347409,17304,18,82,Europe,★★★★
USA,2008,952804201,10273,4,37,North America,★★★
Russia,2008,958115766,3674,3,10,Europe/Asia,★
USA,2008,958717412,23397,16,10,North America,★★★★★
USA,2008,971569783,3128,20,20,North America,★
UK,2008,974880101,5969,10,30,Europe,★★
India,2008,975666797,24158,4,94,Asia,★★★★★
Australia,2008,978371463,18641,5,12,Oceania,★★★★
Australia,2008,980629509,13863,3,61,Oceania,★★★
India,2008,981206925,21067,8,55,Asia,★★★★★
USA,2008,981627672,7475,23,37,North America,★★
Brazil,2008,983754988,24673,5,96,South America,★★★★★
France,2008,985917388,19795,17,21,Europe,★★★★
France,2008,987702839,2329,3,18,Europe,★
Germany,2008,992500817,17342,13,20,Europe,★★★★
Canada,2008,999720907,19760,18,89,North America,★★★★
France,2008,1000114390,20157,7,13,Europe,★★★★★
Canada,2008,1002847168,11650,4,22,North America,★★★
Brazil,2008,1004888527,23508,15,63,South America,★★★★★
Germany,2008,1006267602,6151,12,57,Europe,★★
Brazil,2008,1006481832,23256,9,83,South America,★★★★★
China,2008,1006712722,5669,23,14,Asia,★★
France,2008,1011197740,14853,12,63,Europe,★★★
Canada,2008,1012281192,9413,19,11,North America,★★
Brazil,2008,1012714782,22396,9,63,South America,★★★★★
